property,item,value1,value2
P117,http://www.wikidata.org/entity/Q1035484,http://commons.wikimedia.org/wiki/Special:FilePath/Carbetamid%20D.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Carbetamide.svg
P117,http://www.wikidata.org/entity/Q1035484,http://commons.wikimedia.org/wiki/Special:FilePath/Carbetamide.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Carbetamid%20D.svg
P117,http://www.wikidata.org/entity/Q1047397,http://commons.wikimedia.org/wiki/Special:FilePath/Cashmeran.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Musk%20indanone.svg
P117,http://www.wikidata.org/entity/Q1047397,http://commons.wikimedia.org/wiki/Special:FilePath/Musk%20indanone.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Cashmeran.svg
P117,http://www.wikidata.org/entity/Q411441,http://commons.wikimedia.org/wiki/Special:FilePath/Hydrocodone.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Hydrocodone%20skeletal.svg
P141,http://www.wikidata.org/entity/Q22704092,http://www.wikidata.org/entity/Q126911402,http://www.wikidata.org/entity/Q96377276
P141,http://www.wikidata.org/entity/Q22704092,http://www.wikidata.org/entity/Q96377276,http://www.wikidata.org/entity/Q126911402
P163,http://www.wikidata.org/entity/Q217230,http://www.wikidata.org/entity/Q82194,http://www.wikidata.org/entity/Q116687732
P163,http://www.wikidata.org/entity/Q39,http://www.wikidata.org/entity/Q124020,http://www.wikidata.org/entity/Q97752545
P163,http://www.wikidata.org/entity/Q33788,http://www.wikidata.org/entity/Q43192,http://www.wikidata.org/entity/Q693569
P163,http://www.wikidata.org/entity/Q139794,http://www.wikidata.org/entity/Q14660,http://www.wikidata.org/entity/Q4486232
P163,http://www.wikidata.org/entity/Q159112,http://www.wikidata.org/entity/Q14660,http://www.wikidata.org/entity/Q15963598
P194,http://www.wikidata.org/entity/Q201038,http://www.wikidata.org/entity/Q287980,http://www.wikidata.org/entity/Q3510884
P194,http://www.wikidata.org/entity/Q623589,http://www.wikidata.org/entity/Q371576,http://www.wikidata.org/entity/Q12642272
P194,http://www.wikidata.org/entity/Q70972,http://www.wikidata.org/entity/Q207304,http://www.wikidata.org/entity/Q876424
P194,http://www.wikidata.org/entity/Q458,http://www.wikidata.org/entity/Q8889,http://www.wikidata.org/entity/Q8896
P194,http://www.wikidata.org/entity/Q458,http://www.wikidata.org/entity/Q8896,http://www.wikidata.org/entity/Q8889
P201,http://www.wikidata.org/entity/Q635419,http://www.wikidata.org/entity/Q899,http://www.wikidata.org/entity/Q4918
P201,http://www.wikidata.org/entity/Q14429,http://www.wikidata.org/entity/Q1675,http://www.wikidata.org/entity/Q650985
P201,http://www.wikidata.org/entity/Q78634078,http://www.wikidata.org/entity/Q1684,http://www.wikidata.org/entity/Q1652258
P201,http://www.wikidata.org/entity/Q1434500,http://www.wikidata.org/entity/Q1684,http://www.wikidata.org/entity/Q5602
P201,http://www.wikidata.org/entity/Q181494,http://www.wikidata.org/entity/Q1682,http://www.wikidata.org/entity/Q1422753
P209,http://www.wikidata.org/entity/Q865,http://www.wikidata.org/entity/Q15899357,http://www.wikidata.org/entity/Q31041
P209,http://www.wikidata.org/entity/Q843,http://www.wikidata.org/entity/Q106506436,http://www.wikidata.org/entity/Q2989473
P209,http://www.wikidata.org/entity/Q843,http://www.wikidata.org/entity/Q106506436,http://www.wikidata.org/entity/Q48731999
P209,http://www.wikidata.org/entity/Q865,http://www.wikidata.org/entity/Q15899357,http://www.wikidata.org/entity/Q722785
P209,http://www.wikidata.org/entity/Q865,http://www.wikidata.org/entity/Q15899357,http://www.wikidata.org/entity/Q11091801
P223,http://www.wikidata.org/entity/Q375168,1,S0-a
P223,http://www.wikidata.org/entity/Q613827,1,Sa
P223,http://www.wikidata.org/entity/Q673929,1,Sa/P
P223,http://www.wikidata.org/entity/Q935361,1,S
P223,http://www.wikidata.org/entity/Q1039121,1,Sb
P233,http://www.wikidata.org/entity/Q424248,C(C1C(C(C(C(O1)O)O)O)O)O,OCC1OC(O)C(O)C(O)C1O
P233,http://www.wikidata.org/entity/Q103517,[4He++],[He+2]
P233,http://www.wikidata.org/entity/Q103517,[He+2],[4He++]
