honorary citizen of Gera subClassOf award winner, honorary citizen of Gera subClassOf award, award winner disjointWith award
skyrmion subClassOf hadron, skyrmion subClassOf elementary particle, hadron disjointWith elementary particle
kaon subClassOf hadron, kaon subClassOf elementary particle, hadron disjointWith elementary particle
scalar meson subClassOf hadron, scalar meson subClassOf elementary particle, hadron disjointWith elementary particle
K⁰ subClassOf hadron, K⁰ subClassOf elementary particle, hadron disjointWith elementary particle
K0 short subClassOf hadron, K0 short subClassOf elementary particle, hadron disjointWith elementary particle
facesitting subClassOf anilingus, facesitting subClassOf cunnilingus, anilingus disjointWith cunnilingus
dividend stripping subClassOf tax avoidance, dividend stripping subClassOf tax evasion, tax avoidance disjointWith tax evasion
individual copy of a print subClassOf abstract object, individual copy of a print subClassOf concrete object, abstract object disjointWith concrete object
individual copy of a work subClassOf abstract object, individual copy of a work subClassOf concrete object, abstract object disjointWith concrete object
duplicate original subClassOf abstract object, duplicate original subClassOf concrete object, abstract object disjointWith concrete object
individual copy of a video artwork subClassOf abstract object, individual copy of a video artwork subClassOf concrete object, abstract object disjointWith concrete object
individual copy of an audio work subClassOf abstract object, individual copy of an audio work subClassOf concrete object, abstract object disjointWith concrete object
rubbing subClassOf abstract object, rubbing subClassOf concrete object, abstract object disjointWith concrete object
individual copy of a book subClassOf abstract object, individual copy of a book subClassOf concrete object, abstract object disjointWith concrete object
text witness subClassOf abstract object, text witness subClassOf concrete object, abstract object disjointWith concrete object
individual copy of a map subClassOf abstract object, individual copy of a map subClassOf concrete object, abstract object disjointWith concrete object
couture copy subClassOf abstract object, couture copy subClassOf concrete object, abstract object disjointWith concrete object
Thumb Bible subClassOf abstract object, Thumb Bible subClassOf concrete object, abstract object disjointWith concrete object
magaibutsu subClassOf abstract object, magaibutsu subClassOf concrete object, abstract object disjointWith concrete object
printed book subClassOf abstract object, printed book subClassOf concrete object, abstract object disjointWith concrete object
Kōshin-tō subClassOf abstract object, Kōshin-tō subClassOf concrete object, abstract object disjointWith concrete object
honzon subClassOf abstract object, honzon subClassOf concrete object, abstract object disjointWith concrete object
stone Buddha statue subClassOf abstract object, stone Buddha statue subClassOf concrete object, abstract object disjointWith concrete object
hibutsu subClassOf abstract object, hibutsu subClassOf concrete object, abstract object disjointWith concrete object
theatrical replica subClassOf abstract object, theatrical replica subClassOf concrete object, abstract object disjointWith concrete object
Baby Buddha subClassOf abstract object, Baby Buddha subClassOf concrete object, abstract object disjointWith concrete object
bangasayusang subClassOf abstract object, bangasayusang subClassOf concrete object, abstract object disjointWith concrete object
Rain-wishing attitude subClassOf abstract object, Rain-wishing attitude subClassOf concrete object, abstract object disjointWith concrete object
Buddhist statue in Kōfuku-ji subClassOf abstract object, Buddhist statue in Kōfuku-ji subClassOf concrete object, abstract object disjointWith concrete object
nenjibutsu subClassOf abstract object, nenjibutsu subClassOf concrete object, abstract object disjointWith concrete object
Leela attitude subClassOf abstract object, Leela attitude subClassOf concrete object, abstract object disjointWith concrete object
statue of the Buddha in Hōryū-ji subClassOf abstract object, statue of the Buddha in Hōryū-ji subClassOf concrete object, abstract object disjointWith concrete object
Buddhist statue in Tōdai-ji subClassOf abstract object, Buddhist statue in Tōdai-ji subClassOf concrete object, abstract object disjointWith concrete object
Taj Mahal replicas and derivatives subClassOf abstract object, Taj Mahal replicas and derivatives subClassOf concrete object, abstract object disjointWith concrete object
acanthus subClassOf abstract object, acanthus subClassOf concrete object, abstract object disjointWith concrete object
miniature book subClassOf abstract object, miniature book subClassOf concrete object, abstract object disjointWith concrete object
Buddharupa subClassOf abstract object, Buddharupa subClassOf concrete object, abstract object disjointWith concrete object
counterfeit coin subClassOf abstract object, counterfeit coin subClassOf concrete object, abstract object disjointWith concrete object
Dōsojin-tō subClassOf abstract object, Dōsojin-tō subClassOf concrete object, abstract object disjointWith concrete object
Nenbutsukuyo-to subClassOf abstract object, Nenbutsukuyo-to subClassOf concrete object, abstract object disjointWith concrete object
Sarutahikookami-to subClassOf abstract object, Sarutahikookami-to subClassOf concrete object, abstract object disjointWith concrete object
Hōsōshin-to subClassOf abstract object, Hōsōshin-to subClassOf concrete object, abstract object disjointWith concrete object
Eight Views subClassOf abstract object, Eight Views subClassOf concrete object, abstract object disjointWith concrete object
replica of a cave subClassOf abstract object, replica of a cave subClassOf concrete object, abstract object disjointWith concrete object
intermediate subClassOf abstract object, intermediate subClassOf concrete object, abstract object disjointWith concrete object
viking ship replica subClassOf abstract object, viking ship replica subClassOf concrete object, abstract object disjointWith concrete object
publication of the Five Monasteries subClassOf abstract object, publication of the Five Monasteries subClassOf concrete object, abstract object disjointWith concrete object
Eizan-ban subClassOf abstract object, Eizan-ban subClassOf concrete object, abstract object disjointWith concrete object
kokatsuji-bon subClassOf abstract object, kokatsuji-bon subClassOf concrete object, abstract object disjointWith concrete object
Sakai-ban subClassOf abstract object, Sakai-ban subClassOf concrete object, abstract object disjointWith concrete object
Kasuga-ban subClassOf abstract object, Kasuga-ban subClassOf concrete object, abstract object disjointWith concrete object
Tsukimachi-tō subClassOf abstract object, Tsukimachi-tō subClassOf concrete object, abstract object disjointWith concrete object
mokkatsuji-ban subClassOf abstract object, mokkatsuji-ban subClassOf concrete object, abstract object disjointWith concrete object
shichūsen subClassOf abstract object, shichūsen subClassOf concrete object, abstract object disjointWith concrete object
Kōya-ban subClassOf abstract object, Kōya-ban subClassOf concrete object, abstract object disjointWith concrete object
ring connection subClassOf abstract object, ring connection subClassOf concrete object, abstract object disjointWith concrete object
aldus leaf subClassOf abstract object, aldus leaf subClassOf concrete object, abstract object disjointWith concrete object
large print book subClassOf abstract object, large print book subClassOf concrete object, abstract object disjointWith concrete object
floral heart subClassOf abstract object, floral heart subClassOf concrete object, abstract object disjointWith concrete object
soft hardcover subClassOf abstract object, soft hardcover subClassOf concrete object, abstract object disjointWith concrete object
