disjoint_entity1,disjoint_entity2,violating_subclass
http://www.wikidata.org/entity/Q21096945,http://www.wikidata.org/entity/Q618779,http://www.wikidata.org/entity/Q114429478
http://www.wikidata.org/entity/Q101667,http://www.wikidata.org/entity/Q43116,http://www.wikidata.org/entity/Q1041630
http://www.wikidata.org/entity/Q101667,http://www.wikidata.org/entity/Q43116,http://www.wikidata.org/entity/Q843503
http://www.wikidata.org/entity/Q101667,http://www.wikidata.org/entity/Q43116,http://www.wikidata.org/entity/Q7429686
http://www.wikidata.org/entity/Q101667,http://www.wikidata.org/entity/Q43116,http://www.wikidata.org/entity/Q73875472
http://www.wikidata.org/entity/Q101667,http://www.wikidata.org/entity/Q43116,http://www.wikidata.org/entity/Q74031442
http://www.wikidata.org/entity/Q210749,http://www.wikidata.org/entity/Q8402,http://www.wikidata.org/entity/Q1357000
http://www.wikidata.org/entity/Q329303,http://www.wikidata.org/entity/Q6502151,http://www.wikidata.org/entity/Q5284043
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q75837457
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q114055128
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q117768713
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q106256780
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q109760522
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q112310161
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q53731850
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q61963396
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q63872468
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q67474840
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q7798796
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q11239248
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q11396303
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q11486001
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q11520160
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q11585154
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q11595955
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q12536461
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q12586435
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q12586443
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q12594636
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q12594640
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q13016904
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q13496663
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q16072984
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q16308020
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q17219174
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q17502891
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q18234375
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q20583302
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q21654574
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q22119607
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q24945883
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q65290272
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q415908
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q855753
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q1000809
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q134309234
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q73419810
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q80593705
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q84337307
http://www.wikidata.org/entity/Q123139280,http://www.wikidata.org/entity/Q4406616,http://www.wikidata.org/entity/Q84342082
