class,entity1,entity2
http://www.wikidata.org/entity/Q140,http://www.wikidata.org/entity/Q17611534,http://www.wikidata.org/entity/Q98520146
http://www.wikidata.org/entity/Q144,http://www.wikidata.org/entity/Q105722362,http://www.wikidata.org/entity/Q29642078
http://www.wikidata.org/entity/Q171,http://www.wikidata.org/entity/Q47495990,http://www.wikidata.org/entity/Q58494329
http://www.wikidata.org/entity/Q209,http://www.wikidata.org/entity/Q117009901,http://www.wikidata.org/entity/Q164
http://www.wikidata.org/entity/Q44,http://www.wikidata.org/entity/Q27702287,http://www.wikidata.org/entity/Q27702298
http://www.wikidata.org/entity/Q44,http://www.wikidata.org/entity/Q12008405,http://www.wikidata.org/entity/Q27702298
http://www.wikidata.org/entity/Q44,http://www.wikidata.org/entity/Q11994509,http://www.wikidata.org/entity/Q27702298
http://www.wikidata.org/entity/Q44,http://www.wikidata.org/entity/Q12008405,http://www.wikidata.org/entity/Q27702287
http://www.wikidata.org/entity/Q44,http://www.wikidata.org/entity/Q11994509,http://www.wikidata.org/entity/Q27702287
http://www.wikidata.org/entity/Q44,http://www.wikidata.org/entity/Q11994509,http://www.wikidata.org/entity/Q12008405
http://www.wikidata.org/entity/Q102165,http://www.wikidata.org/entity/Q2294,http://www.wikidata.org/entity/Q2348
http://www.wikidata.org/entity/Q102205,http://www.wikidata.org/entity/Q123196693,http://www.wikidata.org/entity/Q1663717
http://www.wikidata.org/entity/Q102205,http://www.wikidata.org/entity/Q613845,http://www.wikidata.org/entity/Q7935890
http://www.wikidata.org/entity/Q102205,http://www.wikidata.org/entity/Q11432,http://www.wikidata.org/entity/Q11435
http://www.wikidata.org/entity/Q10290214,http://www.wikidata.org/entity/Q105322721,http://www.wikidata.org/entity/Q1350385
http://www.wikidata.org/entity/Q104934,http://www.wikidata.org/entity/Q11418,http://www.wikidata.org/entity/Q849919
http://www.wikidata.org/entity/Q104934,http://www.wikidata.org/entity/Q11415,http://www.wikidata.org/entity/Q849919
http://www.wikidata.org/entity/Q104934,http://www.wikidata.org/entity/Q11412,http://www.wikidata.org/entity/Q849919
http://www.wikidata.org/entity/Q104934,http://www.wikidata.org/entity/Q11415,http://www.wikidata.org/entity/Q11418
http://www.wikidata.org/entity/Q104934,http://www.wikidata.org/entity/Q11412,http://www.wikidata.org/entity/Q11418
http://www.wikidata.org/entity/Q104934,http://www.wikidata.org/entity/Q11412,http://www.wikidata.org/entity/Q11415
http://www.wikidata.org/entity/Q1054813,http://www.wikidata.org/entity/Q4174776,http://www.wikidata.org/entity/Q5327704
http://www.wikidata.org/entity/Q1054813,http://www.wikidata.org/entity/Q1059478,http://www.wikidata.org/entity/Q5327704
http://www.wikidata.org/entity/Q1054813,http://www.wikidata.org/entity/Q494721,http://www.wikidata.org/entity/Q5327704
http://www.wikidata.org/entity/Q1054813,http://www.wikidata.org/entity/Q1059478,http://www.wikidata.org/entity/Q4174776
http://www.wikidata.org/entity/Q1054813,http://www.wikidata.org/entity/Q4174776,http://www.wikidata.org/entity/Q494721
http://www.wikidata.org/entity/Q1054813,http://www.wikidata.org/entity/Q1059478,http://www.wikidata.org/entity/Q494721
http://www.wikidata.org/entity/Q105549531,http://www.wikidata.org/entity/Q111546119,http://www.wikidata.org/entity/Q111546159
http://www.wikidata.org/entity/Q105549555,http://www.wikidata.org/entity/Q111544620,http://www.wikidata.org/entity/Q111545260
http://www.wikidata.org/entity/Q105549760,http://www.wikidata.org/entity/Q111544778,http://www.wikidata.org/entity/Q111545291
http://www.wikidata.org/entity/Q1058795,http://www.wikidata.org/entity/Q2914458,http://www.wikidata.org/entity/Q4409738
http://www.wikidata.org/entity/Q105937862,http://www.wikidata.org/entity/Q105938893,http://www.wikidata.org/entity/Q105938900
