honorary citizen of Gera subClassOf honorary citizenship, honorary citizen of Gera subClassOf award, honorary citizenship disjointWith award
skyrmion subClassOf elementary particle, skyrmion subClassOf hadron, elementary particle disjointWith hadron
kaon subClassOf meson, kaon subClassOf elementary particle, meson disjointWith elementary particle
scalar meson subClassOf meson, scalar meson subClassOf hadron, meson disjointWith hadron
K⁰ subClassOf kaon, K⁰ subClassOf hadron, kaon disjointWith hadron
K0 short subClassOf boson, K0 short subClassOf hadron, boson disjointWith hadron
facesitting subClassOf cunnilingus, facesitting subClassOf cunnilingus, cunnilingus disjointWith cunnilingus
dividend stripping subClassOf tax avoidance, dividend stripping subClassOf tax evasion, tax avoidance disjointWith tax evasion
individual copy of a print subClassOf printed matter, individual copy of a print subClassOf concrete object, printed matter disjointWith concrete object
duplicate original subClassOf artwork copy, duplicate original subClassOf abstract object, artwork copy disjointWith abstract object
individual copy of a video artwork subClassOf audiovisual work, individual copy of a video artwork subClassOf abstract object, audiovisual work disjointWith abstract object
individual copy of an audio work subClassOf audio recording, individual copy of an audio work subClassOf concrete object, audio recording disjointWith concrete object
rubbing subClassOf two-dimensional visual artwork, rubbing subClassOf concrete object, two-dimensional visual artwork disjointWith concrete object
individual copy of a book subClassOf book, individual copy of a book subClassOf abstract object, book disjointWith abstract object
text witness subClassOf text, text witness subClassOf concrete object, text disjointWith concrete object
individual copy of a map subClassOf map, individual copy of a map subClassOf abstract object, map disjointWith abstract object
couture copy subClassOf clothing, couture copy subClassOf concrete object, clothing disjointWith concrete object
Thumb Bible subClassOf miniature book, Thumb Bible subClassOf concrete object, miniature book disjointWith concrete object
magaibutsu subClassOf relief sculpture, magaibutsu subClassOf abstract object, relief sculpture disjointWith abstract object
printed book subClassOf printed matter, printed book subClassOf abstract object, printed matter disjointWith abstract object
Kōshin-tō subClassOf stele, Kōshin-tō subClassOf abstract object, stele disjointWith abstract object
honzon subClassOf Buddharupa, honzon subClassOf abstract object, Buddharupa disjointWith abstract object
stone Buddha statue subClassOf Buddharupa, stone Buddha statue subClassOf concrete object, Buddharupa disjointWith concrete object
hibutsu subClassOf Buddharupa, hibutsu subClassOf concrete object, Buddharupa disjointWith concrete object
theatrical replica subClassOf theatrical property, theatrical replica subClassOf abstract object, theatrical property disjointWith abstract object
Baby Buddha subClassOf Buddharupa, Baby Buddha subClassOf abstract object, Buddharupa disjointWith abstract object
bangasayusang subClassOf Buddharupa, bangasayusang subClassOf concrete object, Buddharupa disjointWith concrete object
Rain-wishing attitude subClassOf Buddharupa, Rain-wishing attitude subClassOf abstract object, Buddharupa disjointWith abstract object
Buddhist statue in Kōfuku-ji subClassOf Buddharupa, Buddhist statue in Kōfuku-ji subClassOf abstract object, Buddharupa disjointWith abstract object
nenjibutsu subClassOf Buddharupa, nenjibutsu subClassOf concrete object, Buddharupa disjointWith concrete object
Leela attitude subClassOf Buddharupa, Leela attitude subClassOf concrete object, Buddharupa disjointWith concrete object
statue of the Buddha in Hōryū-ji subClassOf Buddharupa, statue of the Buddha in Hōryū-ji subClassOf abstract object, Buddharupa disjointWith abstract object
Buddhist statue in Tōdai-ji subClassOf Buddharupa, Buddhist statue in Tōdai-ji subClassOf concrete object, Buddharupa disjointWith concrete object
Taj Mahal replicas and derivatives subClassOf architectural structure, Taj Mahal replicas and derivatives subClassOf concrete object, architectural structure disjointWith concrete object
acanthus subClassOf ornament, acanthus subClassOf abstract object, ornament disjointWith abstract object
miniature book subClassOf printed book, miniature book subClassOf abstract object, printed book disjointWith abstract object
Buddharupa subClassOf statue, Buddharupa subClassOf abstract object, statue disjointWith abstract object
counterfeit coin subClassOf coin, counterfeit coin subClassOf abstract object, coin disjointWith abstract object
Dōsojin-tō subClassOf stele, Dōsojin-tō subClassOf abstract object, stele disjointWith abstract object
Nenbutsukuyo-to subClassOf stele, Nenbutsukuyo-to subClassOf abstract object, stele disjointWith abstract object
Sarutahikookami-to subClassOf stele, Sarutahikookami-to subClassOf concrete object, stele disjointWith concrete object
Hōsōshin-to subClassOf stele, Hōsōshin-to subClassOf abstract object, stele disjointWith abstract object
Eight Views subClassOf tourist attraction, Eight Views subClassOf concrete object, tourist attraction disjointWith concrete object
replica of a cave subClassOf tourist attraction, replica of a cave subClassOf abstract object, tourist attraction disjointWith abstract object
intermediate subClassOf artwork copy, intermediate subClassOf abstract object, artwork copy disjointWith abstract object
viking ship replica subClassOf viking ship, viking ship replica subClassOf concrete object, viking ship disjointWith concrete object
publication of the Five Monasteries subClassOf Buddhist text, publication of the Five Monasteries subClassOf concrete object, Buddhist text disjointWith concrete object
Eizan-ban subClassOf printed book, Eizan-ban subClassOf abstract object, printed book disjointWith abstract object
kokatsuji-bon subClassOf printed book, kokatsuji-bon subClassOf abstract object, printed book disjointWith abstract object
Sakai-ban subClassOf printed book, Sakai-ban subClassOf abstract object, printed book disjointWith abstract object
Kasuga-ban subClassOf printed book, Kasuga-ban subClassOf concrete object, printed book disjointWith concrete object
Tsukimachi-tō subClassOf stele, Tsukimachi-tō subClassOf abstract object, stele disjointWith abstract object
mokkatsuji-ban subClassOf printed book, mokkatsuji-ban subClassOf concrete object, printed book disjointWith concrete object
shichūsen subClassOf cash, shichūsen subClassOf concrete object, cash disjointWith concrete object
Kōya-ban subClassOf printed book, Kōya-ban subClassOf abstract object, printed book disjointWith abstract object
ring connection subClassOf printed book, ring connection subClassOf concrete object, printed book disjointWith concrete object
aldus leaf subClassOf fleuron, aldus leaf subClassOf abstract object, fleuron disjointWith abstract object
large print book subClassOf printed book, large print book subClassOf concrete object, printed book disjointWith concrete object
floral heart subClassOf fleuron, floral heart subClassOf abstract object, fleuron disjointWith abstract object
soft hardcover subClassOf printed book, soft hardcover subClassOf abstract object, printed book disjointWith abstract object
factotum initial subClassOf fleuron, factotum initial subClassOf abstract object, fleuron disjointWith abstract object
Jijin-tō subClassOf stele, Jijin-tō subClassOf concrete object, stele disjointWith concrete object
crocket subClassOf ornament, crocket subClassOf concrete object, ornament disjointWith concrete object
fig leaf subClassOf clothing, fig leaf subClassOf abstract object, clothing disjointWith abstract object
Ishibashi Kuyō-tō subClassOf memorial, Ishibashi Kuyō-tō subClassOf concrete object, memorial disjointWith concrete object
Batō-kannon-tō subClassOf stele, Batō-kannon-tō subClassOf abstract object, stele disjointWith abstract object
Shōtoku Taishi-tō subClassOf stele, Shōtoku Taishi-tō subClassOf abstract object, stele disjointWith abstract object
Kuyō-tō subClassOf stele, Kuyō-tō subClassOf abstract object, stele disjointWith abstract object
Mimachi-tō subClassOf stele, Mimachi-tō subClassOf concrete object, stele disjointWith concrete object
Kasshi-tō subClassOf stele, Kasshi-tō subClassOf abstract object, stele disjointWith abstract object
counterfeit silver coin subClassOf counterfeit coin, counterfeit silver coin subClassOf concrete object, counterfeit coin disjointWith concrete object
case binding subClassOf hardcover, case binding subClassOf concrete object, hardcover disjointWith concrete object
wakokubon subClassOf wasōbon, wakokubon subClassOf abstract object, wasōbon disjointWith abstract object
jestbook subClassOf humorous literature, jestbook subClassOf abstract object, humorous literature disjointWith abstract object
blow book subClassOf printed book, blow book subClassOf concrete object, printed book disjointWith concrete object
Monopoly €500 bill subClassOf Monopoly money, Monopoly €500 bill subClassOf abstract object, Monopoly money disjointWith abstract object
Monopoly €100 bill subClassOf Monopoly money, Monopoly €100 bill subClassOf concrete object, Monopoly money disjointWith concrete object
Monopoly €50 bill subClassOf Monopoly money, Monopoly €50 bill subClassOf concrete object, Monopoly money disjointWith concrete object
Monopoly €20 bill subClassOf Monopoly money, Monopoly €20 bill subClassOf abstract object, Monopoly money disjointWith abstract object
Monopoly €10 bill subClassOf Monopoly money, Monopoly €10 bill subClassOf abstract object, Monopoly money disjointWith abstract object
